country_iso2,country_name,year,VAR_06_animal_rights_delta_risk,VAR_07_plant_protein_ratio_risk,VAR_08_public_concern_risk,VAR_09_civic_space_risk,VAR_10_civil_liberties_risk
ZA,South Africa,2013,-0.0,0.462,70,0.109,0.14
ZA,South Africa,2014,-0.0,0.4743,70,0.109,0.141
ZA,South Africa,2015,-0.0,0.4804,70,0.109,0.133
ZA,South Africa,2016,-0.0,0.4828,70,0.109,0.135
ZA,South Africa,2017,-0.0,0.4698,70,0.109,0.154
ZA,South Africa,2018,-0.0,0.4723,70,0.109,0.146
ZA,South Africa,2019,0.027,0.4907,70,0.1372,0.163
ZA,South Africa,2020,-0.0,0.4766,70,0.1694,0.171
ZA,South Africa,2021,-0.0,0.4817,70,0.1694,0.162
ZA,South Africa,2022,-0.007,0.4751,70,0.1694,0.171
TH,Thailand,2004,-0.0,0.3451,75,0.2952,0.335
TH,Thailand,2005,-0.0,0.3539,75,0.2767,0.329
TH,Thailand,2006,-0.098,0.3627,75,0.3026,0.418
TH,Thailand,2007,-0.011,0.3715,75,0.3312,0.419
TH,Thailand,2008,0.101,0.3804,75,0.3049,0.388
TH,Thailand,2009,-0.0,0.3892,75,0.31,0.389
TH,Thailand,2010,-0.0,0.398,75,0.3208,0.419
TH,Thailand,2011,-0.0,0.4178,75,0.2998,0.363
TH,Thailand,2012,-0.0,0.4136,75,0.2887,0.355
TH,Thailand,2013,-0.0,0.4245,75,0.3142,0.409
TH,Thailand,2014,-0.116,0.4266,75,0.4709,0.595
TH,Thailand,2015,-0.0,0.408,75,0.4754,0.626
TH,Thailand,2016,-0.0,0.4177,75,0.4204,0.632
TH,Thailand,2017,-0.0,0.4188,75,0.4465,0.644
TH,Thailand,2018,0.033,0.4222,75,0.4416,0.64
TH,Thailand,2019,0.023,0.4155,75,0.4015,0.559
TH,Thailand,2020,-0.017,0.4045,75,0.4117,0.618
TH,Thailand,2021,-0.056,0.4104,75,0.4117,0.613
TH,Thailand,2022,0.01,0.409,75,0.3938,0.607
VN,Vietnam,2004,-0.0,0.3859,80,0.4888,0.592
VN,Vietnam,2005,-0.0,0.3854,80,0.4888,0.558
VN,Vietnam,2006,-0.0,0.3848,80,0.4801,0.548
VN,Vietnam,2007,-0.0,0.3842,80,0.4801,0.548
VN,Vietnam,2008,-0.0,0.3837,80,0.4757,0.548
VN,Vietnam,2009,-0.0,0.3831,80,0.4849,0.555
VN,Vietnam,2010,-0.025,0.3826,80,0.4702,0.552
VN,Vietnam,2011,-0.0,0.4055,80,0.4702,0.552
VN,Vietnam,2012,-0.0,0.3781,80,0.4799,0.555
VN,Vietnam,2013,-0.01,0.3809,80,0.4963,0.539
VN,Vietnam,2014,-0.0,0.3458,80,0.4918,0.537
VN,Vietnam,2015,-0.0,0.3713,80,0.485,0.538
VN,Vietnam,2016,-0.0,0.3675,80,0.4974,0.539
VN,Vietnam,2017,-0.0,0.3676,80,0.5038,0.554
VN,Vietnam,2018,-0.0,0.3795,80,0.5038,0.567
VN,Vietnam,2019,0.007,0.3806,80,0.5038,0.603
VN,Vietnam,2020,0.072,0.3935,80,0.5098,0.593
VN,Vietnam,2021,-0.037,0.4095,80,0.5187,0.634
VN,Vietnam,2022,-0.0,0.4141,80,0.5682,0.614
